User_ID,Age_Group,Gender,Openness,Conscientiousness,Extraversion,Agreeableness,Emotional_Stability,Lighting_Level,Temperature,Acoustic_Level,Layout_Adaptability,Space_Utilization,Movement_Pattern,Emotional_Feedback,Comfort_Level,Engagement_Level,Sentiment_Category,Predicted_Behavior
U0481,26-40,Female,0.85,0.49,0.21,0.45,0.68,506.8,24.0,50.6,8,95.2,4,0.84,4,10,Happy,Socializing
U0482,26-40,Female,0.41,0.3,0.77,0.8,0.83,567.2,27.7,76.1,7,32.5,1,-0.28,7,4,Unhappy,Socializing
U0483,26-40,Male,0.75,0.67,0.32,0.73,0.3,829.4,26.9,55.0,0,42.2,1,0.87,6,1,Happy,Socializing
U0484,26-40,Male,0.74,0.57,0.62,0.63,0.38,484.9,25.1,65.4,1,11.0,3,-0.08,7,5,Neutral,Socializing
U0485,26-40,Female,0.68,0.65,0.44,0.45,0.58,731.4,24.5,40.9,1,24.8,3,0.93,6,2,Happy,Exploring
U0486,61+,Female,0.88,0.44,0.61,0.35,0.76,491.1,23.1,68.0,7,88.2,2,0.47,2,7,Happy,Relaxing
U0487,18-25,Female,0.48,0.83,0.42,0.74,0.23,476.0,29.7,66.0,3,36.1,2,0.66,7,2,Happy,Socializing
U0488,18-25,Male,0.29,0.61,0.26,0.54,0.89,784.2,24.7,75.2,8,62.1,1,-0.79,8,4,Unhappy,Exploring
U0489,61+,Female,0.67,0.26,0.36,0.36,0.52,257.4,21.0,31.7,1,66.6,1,0.17,7,3,Neutral,Socializing
U0490,41-60,Female,0.71,0.51,0.33,0.34,0.45,404.7,20.8,52.4,3,78.2,2,-0.71,4,3,Unhappy,Relaxing
U0491,26-40,Female,0.6,0.73,0.5,0.32,0.4,301.8,25.3,64.0,0,18.3,3,-0.4,4,1,Unhappy,Socializing
U0492,26-40,Female,0.34,0.76,0.66,0.74,0.32,423.2,24.3,34.8,2,30.5,2,0.25,5,7,Happy,Socializing
U0493,18-25,Female,0.55,0.55,0.38,0.36,0.75,307.3,18.1,50.5,5,44.8,2,0.45,9,2,Happy,Working
U0494,18-25,Female,0.42,0.83,0.21,0.57,0.87,621.5,28.0,77.1,8,36.5,4,-0.92,5,3,Unhappy,Working
U0495,26-40,Male,0.5,0.39,0.56,0.52,0.49,818.4,26.4,51.8,10,98.3,2,0.06,2,5,Neutral,Working
U0496,26-40,Female,0.65,0.49,0.62,0.61,0.87,808.0,25.9,79.3,0,83.5,3,0.13,5,8,Neutral,Working
U0497,26-40,Male,0.72,0.83,0.87,0.81,0.78,428.1,18.8,32.8,4,48.0,4,-0.84,3,3,Unhappy,Socializing
U0498,18-25,Male,0.36,0.83,0.61,0.81,0.54,989.9,22.3,65.9,1,87.9,1,0.0,10,2,Neutral,Socializing
U0499,61+,Male,0.48,0.68,0.53,0.52,0.67,634.5,29.2,59.1,6,34.8,2,0.43,8,4,Happy,Working
U0500,61+,Male,0.39,0.8,0.6,0.21,0.5,459.5,28.4,55.0,3,78.6,4,-0.89,10,8,Unhappy,Relaxing
U0501,26-40,Male,0.34,0.26,0.85,0.5,0.59,852.0,21.4,78.5,4,22.4,4,0.52,10,0,Happy,Exploring
U0502,26-40,Male,0.75,0.81,0.78,0.62,0.24,756.9,19.9,36.5,7,77.2,1,0.15,2,4,Neutral,Socializing
U0503,26-40,Female,0.84,0.42,0.43,0.59,0.69,774.3,23.4,74.8,1,45.6,1,0.67,4,10,Happy,Working
U0504,41-60,Female,0.46,0.32,0.37,0.66,0.24,276.5,22.3,64.6,2,10.7,2,-0.56,5,3,Unhappy,Exploring
U0505,26-40,Male,0.73,0.37,0.38,0.31,0.77,521.5,26.2,42.9,10,27.3,2,0.67,4,4,Happy,Working
U0506,18-25,Female,0.83,0.49,0.55,0.65,0.78,875.6,29.6,75.1,4,40.2,2,-0.81,5,6,Unhappy,Working
U0507,61+,Female,0.79,0.38,0.72,0.33,0.37,553.6,22.4,51.5,9,74.9,3,-0.19,10,6,Neutral,Relaxing
U0508,41-60,Male,0.33,0.42,0.55,0.73,0.43,715.1,18.7,70.7,3,7.3,4,-0.6,4,6,Unhappy,Relaxing
U0509,61+,Male,0.87,0.29,0.25,0.44,0.54,629.1,28.8,49.4,4,66.0,2,0.75,3,0,Happy,Socializing
U0510,41-60,Female,0.46,0.41,0.71,0.7,0.62,858.1,18.5,72.5,2,71.6,3,0.41,1,8,Happy,Working
U0511,26-40,Female,0.44,0.6,0.76,0.23,0.4,356.1,29.4,61.8,8,65.4,1,-0.95,4,6,Unhappy,Exploring
U0512,26-40,Female,0.24,0.51,0.4,0.49,0.61,617.9,26.0,37.1,7,76.1,1,-0.98,9,3,Unhappy,Socializing
U0513,61+,Male,0.54,0.44,0.66,0.69,0.41,210.9,29.3,62.5,5,17.8,2,-0.42,1,3,Unhappy,Relaxing
U0514,41-60,Male,0.28,0.72,0.5,0.36,0.24,721.2,20.4,39.6,0,58.7,1,-0.71,7,1,Unhappy,Socializing
U0515,18-25,Male,0.37,0.83,0.82,0.76,0.2,758.8,18.5,50.6,3,94.1,2,0.26,3,5,Happy,Socializing
U0516,18-25,Male,0.42,0.73,0.79,0.64,0.27,138.6,23.9,38.5,6,61.1,4,0.33,8,9,Happy,Working
U0517,26-40,Male,0.77,0.43,0.57,0.61,0.75,708.2,23.4,31.1,9,61.1,1,0.88,6,2,Happy,Exploring
U0518,41-60,Male,0.81,0.72,0.68,0.45,0.87,473.2,22.0,40.6,4,73.6,3,0.9,1,0,Happy,Relaxing
U0519,61+,Female,0.41,0.31,0.82,0.54,0.5,211.7,29.5,56.8,3,33.3,2,0.32,10,4,Happy,Socializing
U0520,18-25,Female,0.8,0.29,0.55,0.62,0.56,477.9,27.9,54.1,8,70.0,1,-0.99,5,5,Unhappy,Socializing
U0521,26-40,Male,0.8,0.44,0.42,0.53,0.3,274.8,25.9,55.1,7,91.6,2,-0.28,8,10,Unhappy,Working
U0522,26-40,Female,0.74,0.77,0.73,0.69,0.59,474.0,20.0,42.4,2,1.1,3,0.03,3,4,Neutral,Socializing
U0523,61+,Male,0.3,0.37,0.35,0.5,0.3,445.9,26.8,64.3,5,87.0,2,-0.0,4,4,Neutral,Exploring
U0524,41-60,Male,0.68,0.24,0.47,0.34,0.63,764.6,26.7,65.2,3,21.9,3,0.21,7,9,Happy,Working
U0525,41-60,Male,0.86,0.29,0.81,0.35,0.85,796.8,23.1,47.9,6,45.6,4,0.92,6,10,Happy,Relaxing
U0526,26-40,Female,0.68,0.8,0.71,0.2,0.34,646.3,29.1,74.1,0,85.2,3,0.77,7,7,Happy,Socializing
U0527,26-40,Female,0.43,0.64,0.48,0.41,0.74,120.4,20.0,62.2,0,82.4,1,-0.78,9,9,Unhappy,Socializing
U0528,18-25,Female,0.55,0.38,0.35,0.72,0.22,937.9,21.2,65.7,5,89.2,3,-0.47,9,0,Unhappy,Working
U0529,18-25,Male,0.65,0.59,0.45,0.76,0.46,717.6,18.8,43.9,9,94.0,2,0.67,2,7,Happy,Socializing
U0530,41-60,Female,0.56,0.57,0.4,0.34,0.28,130.8,27.5,30.0,10,44.7,3,0.65,3,10,Happy,Relaxing
U0531,41-60,Male,0.28,0.66,0.32,0.87,0.45,836.9,25.5,73.3,6,65.6,2,-0.45,4,6,Unhappy,Exploring
U0532,61+,Female,0.42,0.36,0.72,0.55,0.32,280.2,21.8,71.1,8,39.0,1,0.46,6,0,Happy,Exploring
U0533,61+,Female,0.76,0.81,0.38,0.84,0.46,621.3,20.0,36.2,6,35.1,2,0.34,5,8,Happy,Working
U0534,26-40,Male,0.8,0.42,0.52,0.69,0.49,520.0,18.5,48.7,8,43.2,2,-0.05,6,3,Neutral,Socializing
U0535,41-60,Female,0.3,0.69,0.47,0.71,0.41,477.9,20.0,63.1,9,74.3,2,-0.6,8,6,Unhappy,Working
U0536,61+,Female,0.87,0.21,0.89,0.26,0.66,900.7,23.4,62.6,8,50.1,4,0.78,2,2,Happy,Working
U0537,41-60,Male,0.43,0.46,0.47,0.35,0.84,493.6,21.0,73.0,7,81.4,4,0.36,6,7,Happy,Working
U0538,18-25,Female,0.66,0.45,0.26,0.21,0.48,167.8,21.1,37.0,6,74.5,2,-0.66,9,3,Unhappy,Working
U0539,26-40,Male,0.73,0.58,0.26,0.7,0.33,952.0,28.5,51.5,2,2.0,2,0.41,5,1,Happy,Working
U0540,18-25,Female,0.77,0.25,0.61,0.44,0.39,928.5,24.2,34.9,10,63.0,2,0.48,1,1,Happy,Socializing
U0541,61+,Female,0.86,0.75,0.62,0.75,0.8,716.0,26.8,49.5,2,43.7,2,0.77,8,7,Happy,Exploring
U0542,26-40,Female,0.42,0.35,0.49,0.44,0.6,521.1,18.4,30.8,10,45.7,4,-0.55,4,7,Unhappy,Exploring
U0543,18-25,Female,0.8,0.67,0.5,0.77,0.52,183.6,22.4,74.9,4,81.8,3,0.98,8,0,Happy,Exploring
U0544,26-40,Female,0.29,0.76,0.24,0.29,0.3,811.7,23.8,56.4,6,54.8,2,-0.69,4,5,Unhappy,Socializing
U0545,26-40,Male,0.69,0.59,0.56,0.32,0.51,167.9,20.2,72.5,9,88.6,2,0.2,8,8,Neutral,Socializing
U0546,26-40,Female,0.72,0.72,0.55,0.44,0.39,161.7,19.4,33.0,6,71.3,3,0.31,9,8,Happy,Working
U0547,18-25,Male,0.67,0.66,0.3,0.49,0.86,583.6,28.4,41.4,0,55.3,3,-0.16,5,1,Neutral,Exploring
U0548,26-40,Female,0.38,0.45,0.27,0.44,0.82,244.1,29.3,43.0,7,75.5,2,-0.05,5,7,Neutral,Working
U0549,26-40,Male,0.81,0.77,0.29,0.73,0.26,107.0,18.9,49.3,0,3.8,1,0.78,2,7,Happy,Exploring
U0550,41-60,Male,0.32,0.41,0.27,0.27,0.56,480.8,22.2,70.1,10,2.7,1,0.29,9,3,Happy,Relaxing
U0551,26-40,Female,0.24,0.6,0.63,0.45,0.36,223.5,29.5,49.3,3,8.3,2,-0.01,4,3,Neutral,Socializing
U0552,41-60,Male,0.7,0.72,0.34,0.79,0.49,244.5,19.0,40.2,1,43.8,2,-0.74,3,4,Unhappy,Relaxing
U0553,26-40,Female,0.53,0.47,0.38,0.25,0.81,169.2,25.7,33.2,4,23.5,1,-0.99,2,10,Unhappy,Exploring
U0554,26-40,Male,0.79,0.41,0.32,0.86,0.57,284.6,29.7,34.0,5,98.4,3,-0.75,3,9,Unhappy,Working
U0555,41-60,Male,0.47,0.52,0.87,0.89,0.43,743.9,29.7,68.0,3,54.2,2,0.91,4,6,Happy,Socializing
U0556,26-40,Female,0.32,0.77,0.8,0.26,0.35,828.0,23.7,52.2,3,66.2,4,0.53,9,0,Happy,Socializing
U0557,18-25,Male,0.79,0.85,0.36,0.4,0.76,507.3,20.0,66.3,6,27.9,1,0.93,6,10,Happy,Working
U0558,18-25,Male,0.58,0.58,0.43,0.46,0.64,555.9,20.4,64.1,10,32.2,1,-0.93,10,8,Unhappy,Relaxing
U0559,41-60,Female,0.33,0.66,0.35,0.74,0.53,129.4,28.7,36.8,3,33.5,2,0.36,5,2,Happy,Relaxing
U0560,26-40,Male,0.7,0.83,0.54,0.62,0.35,162.4,28.9,37.1,1,69.9,1,-0.91,9,10,Unhappy,Relaxing
U0561,41-60,Female,0.56,0.27,0.21,0.65,0.43,331.8,25.3,67.8,3,47.4,4,0.56,8,3,Happy,Relaxing
U0562,18-25,Male,0.62,0.36,0.67,0.73,0.87,589.5,27.2,66.1,6,51.8,1,-0.24,6,6,Unhappy,Socializing
U0563,18-25,Male,0.52,0.7,0.57,0.28,0.56,765.6,26.9,48.9,0,59.2,2,-0.81,3,4,Unhappy,Exploring
U0564,18-25,Female,0.78,0.78,0.83,0.78,0.48,644.5,25.9,33.9,3,76.9,4,0.14,7,4,Neutral,Working
U0565,26-40,Male,0.78,0.8,0.32,0.69,0.56,452.9,27.9,30.6,5,9.0,2,-0.44,10,0,Unhappy,Exploring
U0566,26-40,Male,0.7,0.49,0.76,0.6,0.75,206.5,26.2,44.4,7,77.7,1,0.32,6,1,Happy,Exploring
U0567,26-40,Male,0.27,0.26,0.75,0.82,0.44,802.7,24.4,30.5,7,56.3,2,0.32,8,4,Happy,Relaxing
U0568,26-40,Male,0.79,0.51,0.29,0.69,0.33,427.4,20.8,41.5,8,66.9,2,0.41,6,1,Happy,Exploring
U0569,61+,Female,0.67,0.36,0.48,0.34,0.61,762.4,26.9,51.0,4,32.8,1,0.98,10,0,Happy,Relaxing
U0570,26-40,Male,0.69,0.4,0.32,0.5,0.67,561.7,23.7,36.1,1,40.9,2,-0.23,4,9,Unhappy,Relaxing
U0571,26-40,Female,0.45,0.74,0.38,0.55,0.7,764.8,21.5,35.2,2,23.1,3,-0.07,10,2,Neutral,Exploring
U0572,41-60,Female,0.82,0.25,0.38,0.24,0.82,916.6,27.6,74.8,1,97.9,4,0.61,7,10,Happy,Working
U0573,26-40,Male,0.71,0.78,0.59,0.87,0.46,928.9,26.4,59.3,8,49.7,1,0.16,7,0,Neutral,Exploring
U0574,26-40,Female,0.28,0.5,0.49,0.29,0.25,581.6,29.2,76.7,5,99.6,1,-0.93,8,9,Unhappy,Exploring
U0575,41-60,Male,0.49,0.62,0.86,0.69,0.87,560.4,20.0,47.3,10,49.0,2,0.69,2,7,Happy,Socializing
U0576,61+,Female,0.82,0.26,0.29,0.55,0.5,339.1,25.8,63.9,0,22.0,2,-0.9,6,7,Unhappy,Relaxing
U0577,18-25,Male,0.23,0.44,0.88,0.22,0.64,942.2,20.9,40.2,2,50.7,2,-0.66,3,7,Unhappy,Socializing
U0578,61+,Female,0.87,0.26,0.36,0.85,0.67,512.1,28.8,60.9,6,4.0,3,-0.8,8,6,Unhappy,Working
U0579,26-40,Female,0.68,0.87,0.74,0.8,0.58,214.8,19.2,36.5,6,90.5,3,-0.84,4,6,Unhappy,Exploring
U0580,18-25,Male,0.64,0.77,0.44,0.57,0.34,489.4,25.9,30.1,4,81.9,1,-0.95,4,1,Unhappy,Socializing
U0581,26-40,Female,0.39,0.52,0.3,0.36,0.73,214.3,27.5,76.6,2,72.6,3,-0.89,2,8,Unhappy,Socializing
U0582,61+,Female,0.37,0.36,0.8,0.29,0.76,552.3,22.3,57.7,6,61.0,1,-0.12,6,6,Neutral,Exploring
U0583,26-40,Male,0.86,0.85,0.42,0.45,0.59,605.1,29.4,76.3,4,58.0,2,-0.49,6,4,Unhappy,Exploring
U0584,26-40,Male,0.41,0.44,0.66,0.38,0.54,404.0,28.2,46.7,5,99.7,1,-0.75,1,3,Unhappy,Relaxing
U0585,26-40,Female,0.74,0.31,0.6,0.55,0.28,164.5,21.5,46.4,2,27.8,1,0.32,8,7,Happy,Relaxing
U0586,18-25,Female,0.48,0.59,0.53,0.88,0.26,949.2,18.1,50.0,5,78.0,3,-0.55,3,4,Unhappy,Socializing
U0587,18-25,Female,0.3,0.86,0.55,0.6,0.44,796.0,21.6,65.3,6,58.1,2,-0.96,1,5,Unhappy,Exploring
U0588,18-25,Female,0.21,0.2,0.71,0.82,0.42,855.0,21.4,58.3,7,97.6,1,-0.16,10,3,Neutral,Relaxing
U0589,18-25,Female,0.58,0.37,0.26,0.66,0.87,430.2,28.7,76.3,1,82.8,4,-0.38,1,1,Unhappy,Relaxing
U0590,18-25,Female,0.88,0.86,0.67,0.53,0.75,784.7,29.6,31.3,1,99.9,2,-0.36,1,6,Unhappy,Working
U0591,18-25,Male,0.46,0.32,0.83,0.8,0.66,536.8,18.8,65.4,5,58.8,1,-0.11,5,1,Neutral,Socializing
U0592,26-40,Male,0.45,0.28,0.24,0.53,0.56,281.0,23.7,46.5,7,20.5,1,0.34,5,10,Happy,Socializing
U0593,18-25,Female,0.44,0.6,0.3,0.81,0.32,212.0,24.6,39.0,4,50.4,2,0.23,1,6,Happy,Socializing
U0594,26-40,Female,0.56,0.8,0.7,0.4,0.88,410.5,19.1,55.5,0,71.1,4,0.87,5,6,Happy,Exploring
U0595,41-60,Male,0.51,0.53,0.51,0.29,0.46,223.8,22.5,55.3,10,77.4,2,0.04,7,0,Neutral,Working
U0596,26-40,Male,0.82,0.9,0.48,0.8,0.27,998.4,21.8,36.9,0,0.1,4,-0.05,5,9,Neutral,Relaxing
U0597,26-40,Female,0.55,0.68,0.3,0.61,0.55,144.3,24.4,40.1,9,50.5,2,-0.57,9,9,Unhappy,Working
U0598,18-25,Female,0.56,0.25,0.55,0.82,0.81,497.0,25.9,50.4,8,23.5,2,0.51,4,2,Happy,Relaxing
U0599,18-25,Male,0.3,0.89,0.29,0.86,0.82,506.9,26.4,50.4,3,87.5,2,-0.72,9,2,Unhappy,Relaxing
U0600,18-25,Male,0.89,0.49,0.53,0.24,0.21,370.6,19.6,45.9,9,15.3,3,-0.02,8,10,Neutral,Working
U0601,18-25,Male,0.37,0.4,0.73,0.55,0.82,614.2,27.8,37.4,0,66.6,2,-0.16,1,5,Neutral,Socializing
U0602,18-25,Male,0.25,0.59,0.38,0.46,0.39,235.0,26.1,30.2,10,26.6,4,0.32,4,10,Happy,Exploring
U0603,18-25,Male,0.66,0.41,0.54,0.64,0.23,805.5,28.7,78.5,7,35.7,1,0.84,7,2,Happy,Working
U0604,18-25,Male,0.62,0.26,0.89,0.76,0.79,399.2,23.4,77.2,1,94.1,2,0.89,1,8,Happy,Socializing
U0605,18-25,Female,0.49,0.2,0.68,0.4,0.8,632.2,28.7,54.2,1,24.0,2,-0.66,8,4,Unhappy,Socializing
U0606,26-40,Male,0.5,0.51,0.79,0.59,0.62,744.1,28.4,79.8,0,9.5,3,-0.48,2,5,Unhappy,Exploring
U0607,18-25,Female,0.75,0.79,0.49,0.7,0.6,900.1,23.3,63.7,0,6.9,2,0.62,8,5,Happy,Exploring
U0608,26-40,Female,0.34,0.6,0.74,0.29,0.77,852.2,22.6,33.4,8,50.5,2,0.04,4,7,Neutral,Socializing
U0609,26-40,Male,0.77,0.9,0.23,0.77,0.75,647.5,29.2,35.9,0,64.2,2,-0.09,8,9,Neutral,Exploring
U0610,26-40,Female,0.65,0.4,0.29,0.62,0.82,449.6,26.6,75.8,5,32.7,3,0.42,1,10,Happy,Socializing
U0611,18-25,Male,0.49,0.4,0.34,0.86,0.59,552.9,29.1,61.5,6,69.0,3,0.2,5,2,Neutral,Relaxing
U0612,41-60,Female,0.52,0.31,0.48,0.44,0.88,791.9,27.6,72.2,3,6.1,3,0.94,9,8,Happy,Exploring
U0613,26-40,Male,0.38,0.31,0.79,0.28,0.9,889.8,25.3,74.9,4,85.7,2,0.17,7,6,Neutral,Relaxing
U0614,18-25,Female,0.73,0.4,0.44,0.55,0.28,193.4,19.4,52.4,3,81.7,4,-0.07,3,10,Neutral,Exploring
U0615,41-60,Female,0.56,0.75,0.66,0.26,0.79,446.4,21.5,32.4,3,98.5,3,0.09,4,5,Neutral,Socializing
U0616,61+,Male,0.42,0.83,0.7,0.88,0.55,798.5,29.6,39.4,9,93.7,2,0.62,10,10,Happy,Socializing
U0617,18-25,Male,0.62,0.88,0.61,0.23,0.47,488.5,21.8,33.3,0,35.6,1,0.23,7,0,Happy,Socializing
U0618,18-25,Female,0.9,0.36,0.45,0.73,0.63,399.0,19.1,39.4,5,39.9,2,0.29,6,3,Happy,Socializing
U0619,41-60,Female,0.5,0.82,0.6,0.57,0.24,470.2,26.5,50.5,9,74.6,2,0.94,4,4,Happy,Socializing
U0620,41-60,Male,0.84,0.43,0.44,0.46,0.55,642.6,26.8,35.9,9,13.4,4,0.24,3,1,Happy,Socializing
U0621,18-25,Female,0.44,0.28,0.26,0.25,0.81,999.8,21.4,38.3,6,31.4,3,-0.24,2,0,Unhappy,Exploring
U0622,18-25,Male,0.24,0.81,0.89,0.64,0.35,543.7,21.6,52.3,6,11.9,4,0.38,10,1,Happy,Exploring
U0623,26-40,Female,0.34,0.65,0.29,0.61,0.5,287.6,23.6,47.0,7,45.5,2,0.32,9,7,Happy,Relaxing
U0624,26-40,Male,0.49,0.32,0.25,0.4,0.86,246.6,18.3,53.4,6,55.2,2,-0.97,3,9,Unhappy,Working
U0625,26-40,Female,0.35,0.5,0.81,0.84,0.5,138.1,27.5,51.5,5,21.1,2,-0.07,7,5,Neutral,Exploring
U0626,26-40,Male,0.2,0.4,0.41,0.41,0.45,602.9,21.8,62.2,7,2.7,1,0.49,1,9,Happy,Exploring
U0627,26-40,Male,0.84,0.72,0.66,0.51,0.51,590.1,28.2,76.9,2,71.9,3,-0.0,8,1,Neutral,Working
U0628,41-60,Male,0.79,0.52,0.43,0.58,0.56,284.7,27.6,35.4,8,2.0,1,0.56,1,8,Happy,Working
U0629,18-25,Male,0.72,0.89,0.47,0.27,0.64,725.8,25.9,35.0,2,97.3,3,-0.1,2,7,Neutral,Relaxing
U0630,18-25,Female,0.32,0.24,0.38,0.85,0.76,767.0,21.9,72.6,3,22.2,3,0.97,1,3,Happy,Relaxing
U0631,41-60,Male,0.28,0.45,0.44,0.46,0.52,333.2,24.2,55.3,9,66.4,3,-0.41,4,10,Unhappy,Socializing
U0632,41-60,Female,0.25,0.54,0.49,0.26,0.77,409.7,23.3,68.3,5,43.5,1,-0.82,2,9,Unhappy,Relaxing
U0633,26-40,Male,0.71,0.55,0.7,0.47,0.57,991.4,22.1,40.8,7,6.0,3,-0.14,1,6,Neutral,Relaxing
U0634,26-40,Male,0.85,0.42,0.56,0.62,0.44,436.8,28.2,71.4,2,47.2,4,0.08,1,2,Neutral,Working
U0635,18-25,Male,0.5,0.71,0.86,0.56,0.66,784.7,23.8,76.2,9,51.7,4,-0.3,2,5,Unhappy,Exploring
U0636,26-40,Male,0.28,0.81,0.23,0.69,0.7,507.5,28.0,61.8,5,85.5,3,-0.52,6,2,Unhappy,Socializing
U0637,26-40,Male,0.56,0.86,0.55,0.24,0.59,814.0,19.3,35.3,4,73.2,3,0.34,2,9,Happy,Relaxing
U0638,18-25,Male,0.44,0.76,0.61,0.4,0.24,792.1,19.7,74.8,4,7.9,2,-0.25,2,2,Unhappy,Working
U0639,18-25,Female,0.46,0.8,0.84,0.77,0.32,701.0,29.7,69.6,4,20.9,3,0.26,8,10,Happy,Socializing
U0640,26-40,Male,0.63,0.59,0.23,0.26,0.4,869.3,25.1,67.5,8,31.2,3,0.56,5,8,Happy,Socializing
U0641,18-25,Female,0.7,0.78,0.6,0.8,0.4,945.3,24.1,31.8,6,11.6,3,0.52,8,5,Happy,Working
U0642,26-40,Female,0.28,0.41,0.8,0.26,0.67,622.0,24.3,69.9,8,45.7,3,-0.25,8,7,Unhappy,Relaxing
U0643,18-25,Male,0.22,0.48,0.37,0.78,0.21,313.7,20.6,36.9,8,98.4,2,0.14,2,3,Neutral,Relaxing
U0644,26-40,Male,0.9,0.42,0.81,0.45,0.73,458.8,26.6,41.1,5,51.5,1,-0.1,7,3,Neutral,Relaxing
U0645,18-25,Female,0.36,0.53,0.21,0.63,0.39,782.5,19.0,58.9,5,74.2,2,0.74,9,7,Happy,Relaxing
U0646,41-60,Female,0.24,0.4,0.71,0.31,0.42,685.8,24.9,43.2,3,68.3,2,0.76,8,6,Happy,Socializing
U0647,26-40,Female,0.33,0.87,0.85,0.25,0.57,260.0,24.8,63.1,7,85.0,2,-0.31,9,4,Unhappy,Exploring
U0648,26-40,Male,0.23,0.42,0.66,0.35,0.35,146.1,29.0,60.4,1,21.6,1,-0.82,8,1,Unhappy,Socializing
U0649,41-60,Female,0.47,0.27,0.51,0.29,0.82,714.7,24.3,35.4,4,75.4,2,-0.66,4,5,Unhappy,Socializing
U0650,26-40,Female,0.76,0.57,0.23,0.42,0.26,326.0,19.6,62.8,0,88.1,3,-0.27,10,0,Unhappy,Working
U0651,18-25,Female,0.44,0.24,0.84,0.56,0.51,549.7,24.9,76.2,9,17.2,2,0.13,7,6,Neutral,Socializing
U0652,26-40,Female,0.51,0.28,0.53,0.61,0.79,772.1,19.1,38.1,1,34.7,1,0.31,9,8,Happy,Relaxing
U0653,26-40,Male,0.67,0.35,0.22,0.75,0.63,606.4,20.4,59.9,0,97.0,2,-0.34,9,4,Unhappy,Working
U0654,41-60,Male,0.56,0.53,0.68,0.66,0.4,175.0,18.4,47.1,5,78.1,2,0.33,4,4,Happy,Working
U0655,26-40,Female,0.8,0.5,0.54,0.63,0.49,267.0,24.2,53.0,1,28.3,2,0.88,7,6,Happy,Working
U0656,18-25,Female,0.81,0.76,0.29,0.49,0.69,297.4,19.0,44.4,3,56.4,2,0.3,6,4,Happy,Working
U0657,18-25,Male,0.21,0.72,0.35,0.53,0.88,332.1,23.6,47.7,4,40.4,4,-0.68,3,9,Unhappy,Working
U0658,26-40,Male,0.74,0.5,0.25,0.49,0.83,608.9,29.2,31.4,6,49.0,1,0.16,10,3,Neutral,Relaxing
U0659,26-40,Male,0.52,0.43,0.6,0.79,0.44,553.6,26.6,79.1,9,35.5,3,0.08,6,0,Neutral,Exploring
U0660,26-40,Male,0.89,0.42,0.64,0.36,0.9,282.8,18.9,61.2,0,27.9,4,0.74,8,5,Happy,Exploring
U0661,26-40,Female,0.54,0.74,0.55,0.2,0.2,160.8,20.7,55.0,10,67.5,4,-0.3,2,8,Unhappy,Working
U0662,61+,Female,0.89,0.24,0.77,0.66,0.22,254.3,26.1,49.2,4,77.9,1,-0.15,3,3,Neutral,Exploring
U0663,26-40,Male,0.73,0.21,0.8,0.34,0.78,985.9,28.7,57.0,3,87.4,2,0.2,8,9,Neutral,Socializing
U0664,18-25,Male,0.37,0.76,0.63,0.82,0.34,521.7,18.4,49.0,6,15.5,1,0.05,4,10,Neutral,Exploring
U0665,18-25,Male,0.58,0.53,0.21,0.8,0.24,880.6,27.7,48.0,9,82.3,2,0.44,4,3,Happy,Socializing
U0666,18-25,Male,0.89,0.29,0.69,0.25,0.37,863.9,24.7,53.2,6,25.5,1,-0.92,2,4,Unhappy,Relaxing
U0667,18-25,Female,0.8,0.36,0.49,0.27,0.5,560.4,24.6,43.8,7,42.7,3,0.13,10,5,Neutral,Working
U0668,18-25,Female,0.27,0.85,0.6,0.55,0.71,736.0,29.5,39.0,3,90.1,1,-0.76,1,2,Unhappy,Socializing
U0669,18-25,Female,0.69,0.8,0.65,0.63,0.64,273.5,27.0,57.8,3,45.5,2,-0.37,7,8,Unhappy,Relaxing
U0670,18-25,Male,0.44,0.7,0.45,0.39,0.37,719.6,28.2,72.1,9,19.7,2,0.32,4,0,Happy,Relaxing
U0671,18-25,Female,0.2,0.54,0.84,0.7,0.55,345.1,22.2,37.6,4,16.0,4,-0.69,6,10,Unhappy,Working
U0672,41-60,Female,0.48,0.56,0.29,0.62,0.85,848.9,24.7,31.6,4,47.3,3,-0.38,8,5,Unhappy,Exploring
U0673,18-25,Female,0.36,0.88,0.67,0.43,0.77,175.4,25.4,42.3,10,76.3,2,0.41,7,5,Happy,Relaxing
U0674,26-40,Male,0.77,0.88,0.2,0.22,0.43,795.8,21.9,79.0,2,99.7,1,0.3,7,7,Happy,Exploring
U0675,26-40,Male,0.44,0.35,0.85,0.73,0.89,189.9,24.8,71.4,4,78.7,1,-0.82,6,4,Unhappy,Exploring
U0676,61+,Male,0.78,0.77,0.28,0.35,0.7,893.1,20.8,59.8,4,87.7,3,0.15,4,8,Neutral,Exploring
U0677,18-25,Male,0.2,0.34,0.27,0.78,0.24,373.8,19.7,76.5,7,74.8,3,-0.71,4,8,Unhappy,Socializing
U0678,26-40,Male,0.42,0.35,0.43,0.49,0.22,689.0,22.5,52.3,6,89.5,3,-0.5,9,1,Unhappy,Exploring
U0679,61+,Male,0.37,0.67,0.46,0.6,0.32,538.8,26.9,79.2,7,7.6,1,-0.08,5,4,Neutral,Exploring
U0680,41-60,Female,0.36,0.48,0.35,0.81,0.71,429.7,29.0,44.8,4,93.0,3,-0.78,9,6,Unhappy,Relaxing
